"City","Token1","Count1","Token2","Count2","Proportion","Long","Lat"
"Aachen","schau",117,"guck",139,45.703125,6.0838868,50.7753455
"Aalen","schau",12,"guck",4,75,10.0971163,48.8366887
"Abstatt","schau",1,"guck",1,50,9.2886712,49.0688071
"Ahlen","schau",3,"guck",1,75,7.8973228,51.7600942
"Albstadt","schau",1,"guck",1,50,9.0234259,48.2137038
"Alfter","schau",2,"guck",1,66.6666666666667,7.0107023,50.7380266
"Altenbeken","schau",1,"guck",1,50,8.9452803,51.7615277
"Altenholz","schau",2,"guck",3,40,10.1058989,54.389608
"Ammerbuch","schau",3,"guck",1,75,8.9682176,48.554974
"Andernach","schau",2,"guck",1,66.6666666666667,7.4086636,50.426057
"Ansfelden","schau",8,"guck",1,88.8888888888889,14.2912729,48.2077278
"Arlesheim","schau",4,"guck",1,80,7.6192212,47.499576
"Aschaffenburg","schau",6,"guck",1,85.7142857142857,9.1355554,49.9806625
"Augsburg","schau",297,"guck",27,91.6666666666667,10.89779,48.3705449
"Bad Homburg vor der Höhe","schau",5,"guck",5,50,8.617755,50.2284412
"Bad Salzdetfurth","schau",1,"guck",3,25,10.0098516,52.0578423
"Bad Salzuflen","schau",3,"guck",1,75,8.755622,52.0765185
"Bad Vilbel","schau",3,"guck",1,75,8.7394805,50.1823356
"Bad Zwischenahn","schau",3,"guck",1,75,8.0098765,53.1814401
"Bamberg","schau",44,"guck",5,89.7959183673469,10.9027636,49.8988135
"Bannewitz","schau",5,"guck",1,83.3333333333333,13.7180333,50.9937813
"Baunatal","schau",5,"guck",3,62.5,9.4146,51.2537283
"Bayreuth","schau",24,"guck",6,80,11.5713346,49.9456399
"Beckum","schau",1,"guck",1,50,8.0425504,51.7561792
"Bempflingen","schau",1,"guck",1,50,9.2655088,48.5734809
"Bensheim","schau",2,"guck",1,66.6666666666667,8.6187296,49.6861354
"Bergisch Gladbach","schau",10,"guck",22,31.25,7.1229789,50.9896479
"Bergkamen","schau",4,"guck",3,57.1428571428571,7.6429742,51.6158082
"Berlin","schau",123,"guck",113,52.1186440677966,13.404954,52.5200066
"Bern","schau",1,"guck",1,50,7.4474468,46.9479739
"Bielefeld","schau",139,"guck",184,43.0340557275542,8.5324708,52.0302285
"Bochum","schau",107,"guck",147,42.1259842519685,7.2162363,51.4818445
"Bodenheim","schau",2,"guck",2,50,8.312674,49.9292948
"Bönen","schau",2,"guck",1,66.6666666666667,7.758582,51.5986987
"Bonn","schau",119,"guck",111,51.7391304347826,7.0982068,50.73743
"Bönnigheim","schau",1,"guck",1,50,9.0960207,49.0396987
"Borchen","schau",1,"guck",4,20,8.7276375,51.6659316
"Bornheim","schau",2,"guck",1,66.6666666666667,6.9821412,50.759586
"Bottrop","schau",10,"guck",17,37.037037037037,6.9446888,51.529086
"Brackenheim","schau",1,"guck",1,50,9.0703137,49.0808636
"Braunschweig","schau",73,"guck",82,47.0967741935484,10.5267696,52.2688736
"Bremen","schau",130,"guck",113,53.4979423868313,8.8016937,53.0792962
"Bremerhaven","schau",16,"guck",20,44.4444444444444,8.5809424,53.5395845
"Broderstorf","schau",1,"guck",1,50,12.2626138,54.081318
"Buckenhof","schau",30,"guck",1,96.7741935483871,11.0519203,49.5910338
"Budenheim","schau",5,"guck",2,71.4285714285714,8.1727507,50.0241889
"Büttelborn","schau",1,"guck",2,33.3333333333333,8.5132019,49.9002218
"Butzbach","schau",2,"guck",4,33.3333333333333,8.6688418,50.4350358
"Castrop-Rauxel","schau",11,"guck",14,44,7.3150145,51.5632625
"Chemnitz","schau",125,"guck",39,76.219512195122,12.9208547,50.8282222
"Darmstadt","schau",175,"guck",70,71.4285714285714,8.6511929,49.8728253
"Delbrück","schau",2,"guck",3,40,8.5620753,51.7650575
"Delmenhorst","schau",4,"guck",3,57.1428571428571,8.6355932,53.0521886
"Dietzenbach","schau",2,"guck",1,66.6666666666667,8.7869609,50.0172906
"Dinkelsbühl","schau",2,"guck",1,66.6666666666667,10.3259395,49.0670187
"Dinslaken","schau",1,"guck",4,20,6.747534,51.5674264
"Dormagen","schau",3,"guck",1,75,6.8289112,51.0936851
"Dorsten","schau",2,"guck",1,66.6666666666667,6.9642606,51.6559681
"Dortmund","schau",132,"guck",185,41.6403785488959,7.4652981,51.5135872
"Dossenheim","schau",7,"guck",1,87.5,8.673254,49.4483389
"Dreieich","schau",6,"guck",3,66.6666666666667,8.6949231,50.0294877
"Dresden","schau",164,"guck",91,64.3137254901961,13.7372621,51.0504088
"Duisburg","schau",72,"guck",96,42.8571428571429,6.7623293,51.4344079
"Düsseldorf","schau",136,"guck",154,46.8965517241379,6.7734556,51.2277411
"Dußlingen","schau",4,"guck",1,80,9.0606289,48.4515275
"Edewecht","schau",1,"guck",1,50,7.9830062,53.1261691
"Edingen-Neckarhausen","schau",6,"guck",3,66.6666666666667,8.6093559,49.4452916
"Eibelstadt","schau",1,"guck",2,33.3333333333333,10.0014362,49.7255609
"Eichstätt","schau",5,"guck",1,83.3333333333333,11.185239,48.8910779
"Eisenach","schau",1,"guck",1,50,10.3146872,50.9795715
"Elchingen","schau",5,"guck",1,83.3333333333333,10.104474,48.4575946
"Elmshorn","schau",1,"guck",1,50,9.6632521,53.7513549
"Eltville am Rhein","schau",1,"guck",1,50,8.119173,50.0289744
"Emden","schau",3,"guck",2,60,7.2060095,53.3594029
"Eningen unter Achalm","schau",1,"guck",1,50,9.25778,48.48568
"Ennepetal","schau",7,"guck",12,36.8421052631579,7.3613429,51.3001092
"Erfurt","schau",103,"guck",55,65.1898734177215,11.0298799,50.9847679
"Erkrath","schau",10,"guck",5,66.6666666666667,6.9073473,51.2213125
"Erlangen","schau",218,"guck",15,93.5622317596567,11.0119611,49.5896744
"Erzhausen","schau",1,"guck",1,50,8.6389773,49.9522194
"Eschborn","schau",1,"guck",1,50,8.5614555,50.1467469
"Espenau","schau",1,"guck",1,50,9.4740134,51.398444
"Essen","schau",121,"guck",138,46.7181467181467,7.0115552,51.4556432
"Esslingen","schau",2,"guck",1,66.6666666666667,9.3144229,48.742178
"Esslingen am Neckar","schau",16,"guck",1,94.1176470588235,9.3144229,48.742178
"Feldkirchen","schau",2,"guck",1,66.6666666666667,11.7313522,48.1490937
"Filderstadt","schau",6,"guck",1,85.7142857142857,9.2161353,48.6781974
"Flein","schau",12,"guck",1,92.3076923076923,9.2117083,49.1021482
"Flensburg","schau",4,"guck",5,44.4444444444444,9.4469964,54.7937431
"Frankfurt am Main","schau",218,"guck",130,62.6436781609195,8.6821267,50.1109221
"Frechen","schau",2,"guck",1,66.6666666666667,6.8159957,50.9122488
"Freiberg","schau",4,"guck",2,66.6666666666667,13.3468175,50.9160943
"Freiberg am Neckar","schau",1,"guck",1,50,9.1992433,48.9334303
"Freiburg im Breisgau","schau",151,"guck",30,83.4254143646409,7.8421043,47.9990077
"Freital","schau",2,"guck",1,66.6666666666667,13.6512413,51.0008667
"Friedrichsthal","schau",1,"guck",1,50,7.0946606,49.32702
"Fulda","schau",10,"guck",2,83.3333333333333,9.6808449,50.5558095
"Fuldatal","schau",13,"guck",8,61.9047619047619,9.5263416,51.351006
"Fürth","schau",52,"guck",16,76.4705882352941,10.988667,49.4771169
"Garbsen","schau",1,"guck",1,50,9.5955146,52.4272509
"Geesthacht","schau",1,"guck",1,50,10.3611665,53.4379562
"Gelsenkirchen","schau",17,"guck",18,48.5714285714286,7.0838411,51.5187651
"Georgsmarienhütte","schau",4,"guck",7,36.3636363636364,8.0491839,52.2020737
"Gerlingen","schau",7,"guck",2,77.7777777777778,9.0657713,48.7989751
"Gersthofen","schau",1,"guck",1,50,10.876347,48.4242503
"Gießen","schau",36,"guck",34,51.4285714285714,8.6784031,50.5840512
"Gladbeck","schau",9,"guck",8,52.9411764705882,6.9853921,51.5706624
"Göttingen","schau",87,"guck",86,50.2890173410405,9.9158035,51.5412804
"Graz","schau",426,"guck",7,98.3833718244804,15.439504,47.070714
"Greifswald","schau",9,"guck",7,56.25,13.3923414,54.0865463
"Grevenbroich","schau",1,"guck",3,25,6.585863,51.0902094
"Griesheim","schau",5,"guck",7,41.6666666666667,8.5676441,49.861426
"Gütersloh","schau",1,"guck",2,33.3333333333333,8.3857535,51.9032375
"Hagen am Teutoburger Wald","schau",1,"guck",1,50,7.9779972,52.195962
"Halle (Saale)","schau",109,"guck",71,60.5555555555556,11.9662371,51.4953567
"Hamburg","schau",132,"guck",180,42.3076923076923,9.9936818,53.5510846
"Hamm","schau",19,"guck",37,33.9285714285714,7.8159816,51.6738583
"Hanau","schau",5,"guck",7,41.6666666666667,8.9283105,50.1264123
"Hannover","schau",108,"guck",165,39.5604395604396,9.7320104,52.3758916
"Harsum","schau",4,"guck",2,66.6666666666667,9.9629419,52.2099738
"Haßfurt","schau",4,"guck",1,80,10.5151523,50.0371575
"Hattingen","schau",6,"guck",8,42.8571428571429,7.1911567,51.4018117
"Heddesheim","schau",2,"guck",3,40,8.6059128,49.5077027
"Heidelberg","schau",184,"guck",68,73.015873015873,8.6724335,49.3987524
"Heikendorf","schau",1,"guck",1,50,10.2112541,54.3793772
"Heilbronn","schau",55,"guck",12,82.089552238806,9.210879,49.1426929
"Heiningen","schau",1,"guck",1,50,9.6465141,48.6605962
