county,ass,asshole,bastard,bitch,bitched,bitchy,bloody,bullshit,cock,crap,crappy,cunt,damn,damnit,damned,darn,dick,dickhead,douche,douchebag,dumbass,dyke,fag,faggot,fatass,freaking,friggin,fuck,fucked,fucker,fuckery,fucking,goddamn,gosh,hell,hoe,homo,jackass,motherfucker,motherfucking,nigger,piss,pissed,pissy,pussy,shit,shittiest,shitty,slut,slutty,twat,whore
"alabama,autauga",1520421,49600,9538,962106,6995,8903,5087,120184,15897,146255,13354,22892,1206925,19077,8903,13990,210481,3179,14626,6359,43241,2544,42605,40697,6359,167876,2544,1441570,212388,21620,6359,592017,5087,69948,695667,268347,17169,13354,12082,3179,5087,69948,169148,11446,197763,2352169,1908,52779,37518,3179,3179,46420
"alabama,baldwin",1246775,54318,6578,807348,2334,7851,14004,98452,7002,109910,10397,9124,907073,9760,10185,10185,113729,2971,18884,5729,29069,2546,19521,15489,4031,170593,2546,1137714,139191,15065,2546,462767,5941,81690,573101,252920,7426,4668,4456,2546,2971,71081,152770,4456,103969,1733094,3395,41163,31615,5305,3819,32676
"alabama,barbour",2263661,29188,3243,959948,3243,6486,3243,74591,3243,113507,19458,3243,1258310,0,25945,22701,136209,0,3243,3243,22701,0,9729,0,0,175126,3243,1115615,158910,12972,3243,376196,9729,64861,901573,369710,3243,0,19458,3243,3243,64861,139452,6486,204313,2085293,9729,22701,32431,0,0,25945
"alabama,bibb",1451192,14629,2926,1009398,0,8777,0,105328,0,90699,8777,2926,1176168,17555,2926,17555,93625,2926,5852,0,11703,2926,2926,8777,0,187251,8777,1351715,236989,20481,17555,833850,8777,38035,506162,298431,2926,0,5852,5852,0,67293,201880,0,152141,2390371,0,20481,29258,0,0,29258
"alabama,blount",559433,72969,4230,506556,2115,5288,3173,101523,9518,201988,6345,9518,469543,13748,23266,8460,59222,9518,13748,4230,25381,0,16920,32783,4230,195643,5288,775168,88832,12690,3173,319374,4230,132191,379653,131134,1058,2115,7403,3173,0,102580,155457,10575,32783,905244,2115,43359,35956,4230,2115,45474
"alabama,bullock",2168413,56605,0,1184354,0,8708,0,182878,8708,21771,4354,0,1240960,0,0,4354,300443,0,4354,0,52251,17417,13063,52251,0,47897,0,1941993,278672,21771,8708,574760,13063,30480,735867,335277,0,4354,30480,0,13063,65314,117565,4354,296089,3239557,4354,65314,21771,4354,0,13063
"alabama,butler",2638306,38680,11282,1806683,6447,4835,3223,164390,9670,46738,4835,0,1513359,3223,11282,14505,267537,0,4835,1612,29010,0,6447,12893,1612,78972,1612,2427177,328781,17728,14505,676902,27398,48350,862244,515735,1612,0,9670,4835,0,78972,262702,11282,269149,3932477,0,35457,19340,6447,4835,24175
"alabama,calhoun",1604872,38763,8012,917534,2166,5197,4115,95500,8446,74711,6713,10395,1027543,14292,14292,12344,147689,650,7363,2815,18840,3898,11044,9312,3032,104378,2599,1305163,188184,12127,8879,401056,7363,52189,747323,293645,6063,1083,7579,7146,3032,57170,159816,4331,161332,2190864,866,25337,19273,3248,1083,20573
"alabama,chambers",1881425,34756,5902,1438120,1312,1967,20329,155419,7869,55741,3935,8525,1080065,13116,8525,10492,172469,1967,656,0,26231,0,9181,9837,8525,127221,1312,1800109,220997,17706,5246,445273,15739,58364,908252,398713,3935,3279,21641,11148,1967,53774,172469,2623,255097,2863124,656,8525,16394,1967,1312,28198
"alabama,cherokee",380377,37028,1683,272660,1683,6732,5049,40394,1683,121182,15148,3366,336617,5049,11782,6732,38711,1683,6732,1683,15148,0,1683,10099,0,107717,13465,464532,50493,33662,5049,323152,1683,42077,373645,69006,5049,10099,0,0,0,42077,72373,1683,26929,540270,1683,18514,10099,1683,6732,38711
"alabama,chilton",1202164,58668,6400,1122162,5333,6400,6400,129070,5333,120536,13867,13867,802154,9600,22401,11734,120536,1067,16000,3200,27734,3200,11734,13867,0,151471,2133,1123229,161071,24534,7467,652817,2133,97069,489613,378676,1067,7467,3200,3200,2133,87469,147204,13867,76802,1930716,0,43734,28801,7467,2133,55468
